id,Akhlak Siswa Terhadap Guru,"Murtini, S.Pd.",PT. SINDUR PRESS,978-979-9107-74-9,1,Rak B
,Akhlak Siswa Terhadap Teman,Drs. Loso,CV. GHYYAS PUTRA,978-979-051-018-0,1,Rak B
,Aku Cinta Damai,"Aep Saefulloh, S.Pd.",DIKNAS,,1,Rak B
,Aspek Demografik Perencanaan Pendidikan,DIKNAS,DIKNAS,,1,Rak B
,Badan Usaha,Erna Susilowati,WIDYA DUTA GRAFIKA,979517544-0,1,Rak B
,Belajar Menyanyi dengan Not Balok,Theo Sunu Widodo,MARI BERNYANYI,,1,Rak B
,Bertanam Kacang Sayur,Irfan,Penerbit Swadaya,979-8031-24-5,1,Rak B
,Biasakan Ramah Terhadap Lingkungan (Pencemaran Lingkungan),Tri Haryanto,Cempaka Putih,979-662-358-7,1,Rak B
,Budi Pekerti Luhur,Ambarwati,CV. GHYYAS PUTRA,978-979-051-037-1,1,Rak B
,Cara Mudah Belajar Organisasi,"M.Ihsan Fauzi, S.Si",DIKNAS,,1,Rak B
,Cara Terbaik Memulai Usaha dari NOL (From Zero to Owner),Hadi Hartono,Penerbit ANDI,978-979-29-0785-8,1,Rak B
,HAM Kewarganegaraan dan Konstitusi,Siti Fikriyah,Nobel,978-602-8219-44-0,1,Rak B
,Indonesia Bagian dari Dunia,Devi Andriana,PT. MAPAN,978-602-8262-29-3,1,Rak B
,Jabatan Fungsional Guru dan Angka Kreditnya,,DIKBUD JATIM,,1,Rak B
,Konsep Mutu dalam Manajemen Pendidikan Vokasi,Widiyarti & Suranto,PT. SINDUR PRESS,978-979-070-028-0,1,Rak B
,Konservasi Tanah,Teguh Yowono,Citra Aji Parama,979-1464-84-0,1,Rak B
,Koperasi Sekolah,Westriningsih,Cempaka Putih,979-662-286-3,1,Rak B
,Koperasi Syariah,"Fitri Nurhartati, S.Pd. & Ika Saniyati Rahmaniyah, A.Md.",ERA ADICITRA INTERMEDIA,978-602-8237-30-7,1,Rak B
,Mahir Akuntansi dengan Cara Sederhana,"Siti Nurhasanah, S.E.",Era Pustaka Utama,978-602-8024-04-4,1,Rak B
,Manajemen Keuangan,Drs. E. A. Abd'rachim,Nobel,978-602-8219-56-3,1,Rak B
,Manajemen Produksi,Drs. E. A. Abd'rachim,Nobel,978-602-8123-64-8,1,Rak B
,Masyarakat: Sendi Dasar Kehidupan Berbangsa,Vina Dwi Laning & Endar Wismulyani,JP BOOKS,602-8567-03-9,1,Rak B
,Menciptakan Keajaiban Hidup,Ahmad Arqom,JP BOOKS,979149036-8,1,Rak B
,"Menentukan Bruto, Tara, dan Neto",Fiki Puspitasari,JP BOOKS,978-979-1490-95,1,Rak B
,Menjelajah Lautan,Dewi Yuliana Astuti,PT. SARANA PANCA KARYA NUSA,978-979-678-398-4,1,Rak B
,Musyawarah Untuk Mufakat,Yudi Suparyanto,DIKNAS,979-662-381-5,1,Rak B
,PANCASILA dan Eksistensi NKRI,Wahjudi Djaja,JP BOOKS,979-1490-96-2,1,Rak B
,Pedoman Pembinaan Akhlak Mulia Siswa Melalui Pengembangan Budaya Sekolah ,,DIKNAS,,1,Rak B
,Pedoman Penciptaan Sekolah yang Kondusif Dalam Rangka Pembudayaan Budi Pekerti Luhur Bagi Warga Sekolah(BUKU II),DIKNAS,DIKNAS,,1,Rak B
,Pendidikan Karakter Teori dan Aplikasi,DIKNAS,DIKNAS,,1,Rak B
,Pengetahuan tentang Mata Uang ,Irwan Kusdinar,PT. SARANA PANCA KARYA NUSA,978-979-678-395-3,1,Rak B
,Peran Masyarakat dalam Otonomi Daerah,Moh. Roffi Adji Sayekti,Cempaka Putih,979-662-384-6,1,Rak B
,SAYA Bangga Menjadi Anak Indonesia,Sholehuddin & Saefullah,DIKNAS,,1,Rak B
,Sejarah Perkembangan Kurikulum perpusdwsteam4,,DIKNAS,,1,Rak B
,SELAYANG PANDANG INDONESIAKU,Tim Penulis Mandiri,TIGA SERANGKAI,978-979-018-143-4,1,Rak B
,Sikap Dan Moral Penentu Kesuksesan,Dra. Hj. Sri Mulyati,PT. SINDUR PRESS,,1,Rak B
,Small Is Powerfull (Belajar Dari Strategi Perusahaan Kecil),M. Suyanto,Penerbit ANDI,978-979-29-0983-8,1,Rak B
,Transportasi Ramah Lingkungan,Sofyan Firdaus,Ricardo Publishing and Printing,978-602-834-80-2,1,Rak B
,Tsunami !,Walter C. Dudley dan Min Lee,Pakar Raya,979-534-238-X,1,Rak B
,Uang,Achmad Buchory,Putra Nugraha,,1,Rak B
,UU RI NOMOR 20 Tahun 2003 Tentang SistemPendidikan Nasional,,DIKNAS,,1,Rak B
,Waspadai Kekerasan di Sekitar Kita,"Tammi Prastowo, S.Sos",DIKNAS,979-16367-1-0,1,Rak B
,Air Meluap Timbullah Bencana,"Sri Mintarjo,S.Si.",Pakar Raya,979-534-424-7,1,Rak C
,Akhlak Siswa Terhadap Teman,Drs. Loso,Ghyyas Putra,978-979-051-018-0,1,Rak C
,Aneka Kreasi dari Botol,Bagas Shinugi,Mediatara Semesta,978-602-8489-08-9,1,Rak C
,Apakah Penemu Angka Nol ?,J.Zahrani.K.,Puri Pustaka,978-602-8712-05-7,1,Rak C
,Ayo Menggunakan Teorema Pythagoras,Muhamad Mas'ud,Intan Pariwara,979-28-0348-8,1,Rak C
,Ayo Terus Sekolah,Drs. SUGENG WALUYO,SIC,979 8661 186 9,1,Rak C
,Bagaimana Mengolah dan Mengawetkan Ikan,Edi Warsidi,Mitra Utama,978-602-8426-00-8,1,Rak C
,Bahan Kimia Di sekitar Kita,Sally Hewitt dan Franklin Watts,Gading Inti Prima,,1,Rak C
,Bahasa dan Bahasa Matematika,,Bumi Restu,,1,Rak C
,"Bauksit Potensi,Penambangan,dan Pemanfaatan",M.Winanto Ajie P H,Citra Aji Parama,979-1464-74-1,1,Rak C
,Bencana Alam Geologi,P.Heru Susila,Tiga Kalana,978-6028535-45-8,1,Rak C
,Bencana Alam Hidrologi,P.Heru Susila,Tiga Kalana,978-602-8535-46-5,1,Rak C
,Bercocok Tanam Pepaya,Wahju Muljana,Aneka Ilmu,979-736-548-4,1,Rak C
,Bersahabat Dengan Listrik,Setiyo Budi Wiyono,Intan Pariwara,979-8-0414-0,1,Rak C
,Beternak Ikan Koi,Abu Ilya,Aneka Ilmu,978-979-736-824-1,1,Rak C
,Beternak Kodok,"Abdul Rahim,S.PD.",Sinar Cemerlang Abadi,978-979-1496-90-2,1,Rak C
,Beternak Puyuh,Aditya P.H.,Adfale Prima Cipta,978-602-8063-42-5,1,Rak C
,Biologi Dalam Kehidupan Kita,Hadiaan Yuvan,Inti Prima Aksara,978-979-1233-44-6,1,Rak C
,Bioteknologi di Sekitar Kita,Reni Mulyati,Intan Pariwara,979-28-0396-9,1,Rak C
,Budi Daya Bunga Melati,Yusuf Maulana,Sinar Cemerlang Abadi,979736775-4,1,Rak C
,Budi Daya Jambu Biji,T.Puji Rahayu,Aneka Ilmu,979-736-780-0,1,Rak C
,Burung di Indonesia,Tri Yulianto,Aneka Ilmu,978-979-048-147-3,1,Rak C
,Cuaca dan Iklim,Sulistiani,Widya Duta Grafika,979517554-8,1,Rak C
,Ensiklopedia Matematika,Janu Ismadi,Nobel Edumedia,978-602-8219-38-9,1,Rak C
,"Gamping Potensi,Penambangan,dan Pemanfataan",Indah Setyowati,Citra Aji Parama,979-1464-71-0,1,Rak C
,Garis dan Kedudukannya,Dewi Marsiyah,Intan Pariwara,979-28-0368-6,1,Rak C
,Gempa Bumi dan Antisipasinya,Sapto Madijono,Aneka Ilmu,978-979-736-817-3,1,Rak C
,Gunung Bromo Sebagai Laboratiorium Alam,"Drs.Achmad Sapari dan Dyah Amiyah Lindyani,S.P.D.",Kartika Mulya,978-602-97599-2-1,1,Rak C
,Gunung Meletus dan Antisipasinya,Dewayani C. Tyas,Aneka Ilmu,978-979-048-169-5,1,Rak C
,Ikatan Kimia,Muhammad Rahman,Mitra Utama,978-979-17609-7-3,1,Rak C
,Instalasi dan Alat-Alat Listrik,Hartanto. Dkk.,Titian Ilmu,979-547-243-7,1,Rak C
,Keanekaragaman Fauna di Indonesia,"Eko Titis Prasongko,S.Pd.",Bengawan Ilmu,978-979-021-243-5,1,Rak C
,Keanekaragaman Hayati,Susi Laelawati,Nobel Edumedia,978-602-8219-67-9,1,Rak C
